idx,file,path,ext,bytes,sha16,width,height,ratio,bucket
41,254ef41520870317.png,dist/assets/pptx-media/254ef41520870317.png,png,286311,c8b131e6b46a219b,580,580,1.0,large-icon-or-logo-candidate
42,25722f297895d4ae.png,dist/assets/pptx-media/25722f297895d4ae.png,png,39333,649700903df74a17,1024,1024,1.0,large-icon-or-logo-candidate
43,2593e92000a220ec.png,dist/assets/pptx-media/2593e92000a220ec.png,png,46717,5b6af8c20d9eb8c4,2333,418,5.581,logo-candidate
44,262580914d0cb8e0.png,dist/assets/pptx-media/262580914d0cb8e0.png,png,2494679,3f890e1107ad2d97,1264,1517,0.833,other-candidate
45,269b73e502bb726c.png,dist/assets/pptx-media/269b73e502bb726c.png,png,1398,8daa4a3092aeee2b,96,96,1.0,icon-candidate
46,274841c034e38a03.png,dist/assets/pptx-media/274841c034e38a03.png,png,957,5dec8a827bd85d16,96,96,1.0,icon-candidate
47,293269c2527f61ae.png,dist/assets/pptx-media/293269c2527f61ae.png,png,178479,74f45af487d5b153,5697,3145,1.811,other-candidate
48,2a1d158b6e98428f.png,dist/assets/pptx-media/2a1d158b6e98428f.png,png,2178,05e596d825a0a6be,96,96,1.0,icon-candidate
49,2b798c99a0609e29.jpeg,dist/assets/pptx-media/2b798c99a0609e29.jpeg,jpeg,41505,d5345b4242e112ec,427,263,1.624,other-candidate
50,2bf6f9b662ff534e.png,dist/assets/pptx-media/2bf6f9b662ff534e.png,png,29668,f83dddb3009f2861,784,788,0.995,large-icon-or-logo-candidate
51,2d2b36c2ee485ac7.png,dist/assets/pptx-media/2d2b36c2ee485ac7.png,png,26000,fe170e8bba7a72be,2003,418,4.792,logo-candidate
52,2e10cadf46d95b5f.png,dist/assets/pptx-media/2e10cadf46d95b5f.png,png,175751,c5fad7698a7430a1,11117,1214,9.157,other-candidate
53,2fe88ce0dd93a4b2.png,dist/assets/pptx-media/2fe88ce0dd93a4b2.png,png,1827,8a082731286701c8,96,96,1.0,icon-candidate
54,306e3e3f8fc9e59b.png,dist/assets/pptx-media/306e3e3f8fc9e59b.png,png,13309,93c15b8b9c9c996b,932,418,2.23,logo-candidate
55,32ec464138375dbe.png,dist/assets/pptx-media/32ec464138375dbe.png,png,1611,bb35be2d5f5661f8,96,96,1.0,icon-candidate
56,33198493b017095a.png,dist/assets/pptx-media/33198493b017095a.png,png,3431,69a90241c0773a9c,23,190,0.121,other-candidate
57,33c6da4f7a6f63d2.png,dist/assets/pptx-media/33c6da4f7a6f63d2.png,png,25179,619cc4954c0fac6a,1913,418,4.577,logo-candidate
58,346c5453de44f9eb.png,dist/assets/pptx-media/346c5453de44f9eb.png,png,21829,a0c1376f8ec351ea,1771,418,4.237,logo-candidate
59,3697b3f2edc44ee9.png,dist/assets/pptx-media/3697b3f2edc44ee9.png,png,1433,e4af71b5b3601c4f,96,96,1.0,icon-candidate
60,38134e9b2e811efa.png,dist/assets/pptx-media/38134e9b2e811efa.png,png,1494,707e9a00ec794017,96,96,1.0,icon-candidate
61,38c49b3cea755150.png,dist/assets/pptx-media/38c49b3cea755150.png,png,4621,b9818c68b1b36984,96,97,0.99,icon-candidate
62,3904b80d255a1608.png,dist/assets/pptx-media/3904b80d255a1608.png,png,79747,a076d49128c25aae,2168,543,3.993,logo-candidate
63,397fe590b39154b4.png,dist/assets/pptx-media/397fe590b39154b4.png,png,1193,246fc7ccae1b9b39,96,96,1.0,icon-candidate
64,3acfb7fc5171ce0e.png,dist/assets/pptx-media/3acfb7fc5171ce0e.png,png,42888,90609ea04c99fb0d,1760,418,4.211,logo-candidate
65,3b2fc3af7fbf2dd2.png,dist/assets/pptx-media/3b2fc3af7fbf2dd2.png,png,754737,dc320b8bc3d1b59a,3332,4804,0.694,other-candidate
66,3b957b1496c9b927.png,dist/assets/pptx-media/3b957b1496c9b927.png,png,43234,73eac58c17b549a6,1681,417,4.031,logo-candidate
67,3dcaf1285290267a.png,dist/assets/pptx-media/3dcaf1285290267a.png,png,1581,ab647a1cb64218cc,96,96,1.0,icon-candidate
68,410cc507df1e03cf.png,dist/assets/pptx-media/410cc507df1e03cf.png,png,1514,c36a05369efbb5f9,96,96,1.0,icon-candidate
69,4554ef58edfc89d1.png,dist/assets/pptx-media/4554ef58edfc89d1.png,png,367354,54dda2e2e40a42e4,5252,1643,3.197,other-candidate
70,45f88bb9977acc63.png,dist/assets/pptx-media/45f88bb9977acc63.png,png,1145,7068c1f99f14915b,96,96,1.0,icon-candidate
71,47185783db7b73e3.png,dist/assets/pptx-media/47185783db7b73e3.png,png,1315,7ea0f511418fe5c6,96,96,1.0,icon-candidate
72,4816de094aaf8f83.png,dist/assets/pptx-media/4816de094aaf8f83.png,png,17102021,884e1afde07e8885,8280,2880,2.875,other-candidate
